チアノーゼを来す疾患はどれか。　a.僧帽弁狭窄症　b.拡張型心筋症　c.Fallot四徴症　d..Eisenmenger症候群　e.三尖弁閉鎖不全症,ab,ae,bc,cd,de,4,臨床医学総論,,
低血糖の症状はどれか。　a.徐脈　b.頭痛　c.振戦　d.顔面蒼白　e.皮膚乾燥,abc,abe,ade,bcd,cde,4,,,
病原微生物に関して正しいのはどれか。,髄膜炎菌はグラム陽性球菌である。,発疹チフスはウイルス感染によって発症する。,成人T細胞性白血病は東日本に多い。,マイコプラズマは細胞壁をもたない。,腸炎ビブリオの潜伏期間は約120時間である。,4,臨床医学総論,,
急性腎不全に対して透析を開始しなければならないのはどれか。　a.BUN100mg/dL　b.血清HC03-12mEq/L　c.血清クレアチニン8mg/dL　d.動脈血pH7.35　e.血清K+5mEq/L,abc,abe,ade,bcd,cde,1,臨床医学総論,,
慢性腎不全の長期透析患者に認められる合併症はどれか。　a.悪性腫瘍　b.サルコイドーシス　c.副甲状腺機能低下症　d.貧血　e.腎嚢胞,abc,abe,ade,bcd,cde,3,臨床医学総論,,
ヘリコバクター・ピロリ菌と関連のある疾患はどれか。　a.食道癌　b.胃潰瘍　c.胃癌　d.十二指腸潰瘍　e.潰瘍性大腸炎,abc,abe,ade,bcd,cde,4,臨床医学総論,,
正しい組合せはどれか。　a.播種性血管内凝固(DIC) - 二次線溶亢進　b.フォン・ヴィレブランド病 - 出血時間延長　c.ワルファリン過剰投与 - プロトロンビン時間(PT)延長　d.特発性血小板減少性紫斑病(ITP) - 骨髄での血小板産生低下　e.血友病A - 第V因子欠乏,abc,abe,ade,bcd,cde,1,臨床医学総論,,
カプノメータが麻酔中のモニタとして役立つのはどれか。　a.不整脈　b.食道誤挿管　c.呼吸回路の外れ　d.気管支喘息発作　e.麻酔ガス過剰濃度,abc,abe,ade,bcd,cde,4,臨床医学総論,,
急性呼吸促迫症候群(ARDS)の診断に必要な情報はどれか。　a.PaO2　b.PaCO2　c.中心静脈圧　d.吸入酸素分画(FI02)　e.胸部X線画像,abc,abe,ade,bcd,cde,3,臨床医学総論,,
主な感染経路が血液に由来するのはどれか。　a.A型肝炎ウイルス　b.B型肝炎ウイルス　c.C型肝炎ウイルス　d.HIV　e.インフルエンザウイルス,abc,abe,ade,bcd,cde,4,臨床医学総論,,
滅菌・消毒について正しい組合せはどれか。　a.消化器内視鏡 - エタノール　b.ディスポーザブル注射器 - X線　c.芽胞形成菌 - グルタールアルデヒド　d.粘膜 - 塩化ベンザルコニウム　e.超音波プローブ- - 高圧蒸気,ab,ae,bc,cd,de,4,臨床医学総論,,
正しいのはどれか。,糖質1gあたりの熱量は約4kcalである。,糖質は分解されて二糖類として吸収される。,アミノ酸は酸素の供給がないと乳酸に変わる。,安静座位で消費されるエネルギーを基礎代謝量という。,基礎代謝量は成人男子で約1000kcal/dayである。,1,臨床医学総論,,
誤差について正しいのはどれか。,計測器の目盛りの読み間違いによって偶然誤差が生じる。,計測器の校正を怠ると系統誤差が生じる。,量子力学的現象によって量子化誤差が生じる。,過失誤差は測定者によらず一定である。,n回の測定値を平均すると理論的誤差は1/nとなる。,2,,,
信号処理について正しい組合せはどれか。　a.周波数解析 - フーリエ変換　b.SN比改善 - 加算平均　c.信号平滑化 - 微分演算　d.輪郭強調 - 積分演算　e.面積計算 - 移動平均,ab,ae,bc,cd,de,1,,,
心電図誘導で右手、左手、左足の電位が、それぞれ-6mV、lmV、5mVであるとき、aVLの電位[mV]はどれか。,-9,-5,5,5,7.5,3,,,
心電図テレメータについて誤っているのはどれか。　a.送信機のアンテナが長いほど送信効率がよい。　b.使用する専用周波数帯は各メーカ共通である。　c.混信対策としてゾーン配置が用いられる。　d.受信感度不足にはブースタが用いられる。　e.空中線電力は15mW以下である。,ab,ae,bc,cd,de,2,,,
トランジットタイム型超音波血流計について正しいのはどれか。　a.ドプラ効果を利用する。　b.ゼロ点補正が不要である。　c.体表面からの計測ができない。　d.順・逆方向の伝播時間差を利用している。　e.赤血球からの散乱波を利用する。,abc,abe,ade,bcd,cde,4,,,
スパイロメータで計測できないのはどれか。,最大吸気量,予備吸気量,1回換気量,肺活量,残気量,5,,,
X線CT検査と比較して超音波検査の利点で正しいのはどれか。　a.画質がよい。　b.視野が広い。　c.肺内病変の評価に向いている。　d.実時間画像が得られる。　e.携帯性に優れている。,ab,ae,bc,cd,de,5,,,
臨床用MRIについて正しいのはどれか。　a.軟部組織の画像化に適している。　b.炭素原子の空間分布を画像化する。　c.水分の少ない組織の撮影に適している。　d.撮像法としてT1強調がある。　e.血管造影が可能である。,abc,abe,ade,bcd,cde,3,,,
植込み型心臓ペースメーカについて正しいのはどれか。　a.ジェネレータ(本体)は心嚢内に留置する。　b.心内膜電極は左室に留置する。　c.ICHD(NBG)コードの3文字目のIは抑制を意味する。　d.電極留置直後は刺激閾値が上昇する。　e.500ms前後の刺激パルスが効率的である。,ab,ae,bc,cd,de,4,,,
ESWLについて正しいのはどれか。,平面コイル型電磁誘導方式ではパラボラ型反射体を用いる。,電極放電方式では結石の位置を第一焦点に合わせる。,超音波による照準は常時観察が可能である。,尿道結石治療の第一選択である。,腸管組織にも安全である。,3,,,
正しい組合せはどれか。　a.Ho:YAGレーザ - 液体レーザ　b.Arレーザ - 気体レーザ　c.Ga-Al-As - 半導体レーザ　d.Nd:YAGレーザ - 気体レーザ　e.ArFエキシマレーザ - 固体レーザ,ab,ae,bc,cd,de,3,,,
超音波凝固切開手術装置について正しいのはどれか。　a.先端はl~3mmの振幅で振動する。　b.50kHz前後の周波数を用いる。　c.凝固温度は電気メスよりも低温である。　d.内視鏡外科手術で頻用される。　e.骨切開に有効である。,abc,abe,ade,bcd,cde,4,,,
ハイパーサーミアについて正しいのはどれか。　a.容量結合型加温には数kHz-数十kHzの周波数を使用する。　b.超音波加温は空気層を通して組織を加温する。　c.皮膚表面の冷却にボーラス(水バッグ)を用いる。　d.マイクロ波加温では周波数の増加に対して加温できる深さが減少する。　e.組織内加温では針電極を刺入する。,abc,abe,ade,bcd,cde,5,,,
300kHzの交流電流を1秒間通電したときの感知電流の閾値[mA]に近いのはどれか。,30,100,150,300,500,4,,,
JISで規定されていないのはどれか。,輸液ポンプ,電気メス,植込み型心臓ペースメーカ,心電計,観血式血圧計,3,,,
図の記号がついた心電計について正しいのはどれか。　a.マクロショック対策がされている。　b.除細動器を使用する場合は誘導コードの接続を外す。　c.追加保護接地を行えば心内心電図を測定することができる。　d.補強絶縁がされている。　e.患者装着部は非接地になっている。,abc,abe,ade,bcd,cde,2,,,
保守点検に含まれないのはどれか。,体外式除細動器の外装の清掃,人工呼吸器のパクテリアフィルタの交換,人工透析装置の劣化した医用プラグの交換,輸液ポンプの送液流量精度の測定,心電計の記録器の校正,3,,,
JIST7101:2014で規定されている図の医療ガス配管端末器（ピン方式）の識別色はどれか。,緑,黄,黒,だいだい,マゼンタ,1,,,
図のように使用と修理を繰り返しているME機器のアベイラビリティはどれか。,0.2,0.4,0.68,0.8,0.84,4,,,
正しいのはどれか。　a.2.4GHzの電磁波は非電離放射線である。　b.携帯電話で使用される周波数は約500kHzである。　c.小電力医用テレメータは出力が規定値以内であれば任意の周波数を用いてよい。　d.心電計に電磁障害が起きると患者測定電流が増加する。　e.電気メス使用時は心臓ペースメーカを固定レートにする。,ab,ae,bc,cd,de,2,,,
図のような一様電界E=5.0X103V/m中の点Aに+lCの電荷がある。この電荷を点A→点B→点Cの経路で移動させたときの仕事[J]はどれか。,-1000,-500,0,500,1000,4,,,
10Hのインダクタンスをもつコイルに1Aの電流が流れているとき、磁界内に蓄えられているエネルギー[J]はどれか。,1,2,5,10,50,3,,,
使用電力が時間帯によって図のように変化したとき、1日の使用電力量[kWh]はどれか。,2,6,12,18,24,4,,,
図の回路でab間の電圧[VJはどれか。ただし、抵抗Rはすべて同じ値とする。,1,2,3,6,12,3,,,
図の回路でコンデンサが1000Vで充電された状態でスイッチを閉じる。スイッチを閉じてから1秒後の電流値[mA]に最も近いのはどれか。ただし、自然対数の底eは,7とする。,10,6.3,3.5,3.7,4,,,
正弦波交流i1=141sin(100πt+π/3)[A]、i2=282sin(100πt-π/6)[A]において、i1とi2の位相差[rad]について正しいのはどれか。,i1がi2よりπ/6進んでいる。,i1がi2よりπ/2進んでいる。,i1がi2より2π/3遅れている。,i1がi2よりπ/6遅れている。,i1がi2よりπ/2遅れている。,2,,,
正しいのはどれか。　a.理想ダイオードの順方向抵抗は無限大である。　b.バイポーラトランジスタは電圧制御素子である。　c.ピエゾ効果が大きい半導体は磁気センサに利用される。　d.FETのn形チャネルの多数キャリアは電子である。　e.CMOS回路はバイポーラトランジスタ回路よりも消費電力が少ない。,ab,ae,bc,cd,de,5,,,
図1の回路に図2に示す電圧Eを入力したとき、ダイオードD1に電流が流れる区間はどれか。ただし、ダイオードは理想ダイオードとする。,A,B,C,D,E,3,,,
出力電圧Voにおいてリプル率の最も小さい回路はどれか。,1,2,3,4,5,5,,,
図の回路において正しいのはどれか。ただし、Aは理想演算増幅器とする。　a.反転増幅回路である。　b.入力抵抗はRsである。　c.二つの抵抗に流れる電流は等しい。　d.VsはViに等しい。　e.Rsを無限大にすると|Vi|=|Vs|になる。,abc,abe,ade,bcd,cde,5,,,
同相除去比(CMRR)が80dBの差動増幅器の入力に、振幅1mVの逆相信号を入力したところ、出力において逆相信号の振幅は1Vに増幅された。このとき、この増幅器の同相信号に対する利得[dB]はどれか。,-40,-20,0,20,40,2,,,
図の変調方式はどれか。,ASK,FSK,PSK,PWM,PPM,1,,,
図のブロック線図の伝達関数(Y/X)はどれか。,G11+G1+G1G2,G21+G1+G1G2,G11+G2+G1G2,G21+G2+G1G2,G1G21+G1+G,1,,,
コンピュータの補助記憶装置について誤っているのはどれか。,USBメモリはフラッシュメモリである。,1層あたりの容量は、BD(Blu-rayDisk)はDVDの5倍以上である。,RAIDはデータ圧縮技術を基本としている。,NASはネットワークに直接接続して使用する。,磁気テープは大量データの長期保存に使われる。,3,,,
図のフローチャートで1から10までの自然数の和Sを求める。㈰、㈪、㈫のそれぞれに入る式の正しい組合せはどれか。　a.㈰i=10㈪i≦10㈫i=i-1　b.㈰i=1㈪i≧1㈫i=i+1　c.㈰i=10㈪i≧1㈫i=i-1　d.㈰i=1㈪i≦10㈫i=i+1　e.㈰i=1㈪i≦10㈫i=i-1,ab,ae,bc,cd,de,4,,,
インターネットからの不正アクセスを防ぐため、インターネットとローカルネットワーク間に設置する仕組みはどれか。,スイッチングハプ,リピータ,ウィルスチェッカ,ファイアウォール,電子認証システム,4,,,
16進数B8と9Cの和を16進数で表したのはどれか。,DC,144,154,22F,340,3,,,
画素数が800X1000のモノクロ画像を128段階の濃度で表示するために必要な最小データ量[Mbyte]に最も近いのはどれか。,0.7,1.2,2.1,2.4,12.8,1,,,
加温加湿器と比較して、人工鼻で起こりやすい有害事象はどれか。,うつ熱,死腔増加,過剰加湿,換気中断,回路誤接続,2,,,
高気圧酸素治療で2気圧に加圧した場合の装置内の分圧について、正しいのはどれか。　a.空気加圧の第1種治療装置では、酸素分圧は520mmHg　b.酸素加圧の第1種治療装置では、酸素分圧は1520mmHg　c.空気加圧の第2種治療装置では、酸素分圧は319mmHg　d.酸素加圧の第1種治療装置では、窒素分圧は0mmHg　e.空気加圧の第2種治療装置では、窒素分圧は912mmHg,abc,abe,ade,bcd,cde,4,,,
人工呼吸中に図のような波形が観察されるとき、肺胸郭静的コンプライアンス値[mL/cmH2O]はどれか。,12,20,25,33,100,4,,,
図は人工呼吸器および呼吸回路の略図である。カプノメータプローブを取り付ける正しい部位は図のA〜Eのどれか。,A,B,C,D,E,3,,,
膜型人工肺について正しいのはどれか。,均質膜では血液は酸素ガスと直接接触することはない。,気泡型人工肺よりもタンパク変性が生じやすい。,均質膜は多数の微細な孔の開いている構造からなる。,膜の形態はフィルム型とシート型とに大別される。,均質膜では長時間使用すると血漿漏出が起こる。,1,,,
IABPについて正しいのはどれか。　a.拡張期に下行大動脈でバルーンを拡張させる。　b.冠動脈血流量を増加させる。　c.左室の後負荷を軽減する。　d.大動脈弁狭窄症には禁忌である。　e.収縮期血圧を上昇させる。,abc,abe,ade,bcd,cde,1,,,
低体温体外循環の影響で正しいのはどれか。　a.末梢血管抵抗低下　b.酸素消費量低下　c.カテコラミン活性低下　d.血液凝固能亢進　e.血液粘稠度低下,ab,ae,bc,cd,de,3,,,
ヘモグロビン酸素解離曲線で誤っているのはどれか。,低体温では解離曲線は左方偏位する。,高体温では同じ酸素分圧でも酸素飽和度が低下する。,2.3-DPGの増加は解離曲線を右方偏位させる。,二酸化炭素分圧が増加すると解離曲線は左方偏位する。,アシドーシスでは解離曲線は右方偏位する。,4,,,
呼吸補助ができるのはどれか。　a.IABP　b.左心バイパス　c.PCPS　d.ECMO　e.補助人工心臓,ab,ae,bc,cd,de,4,,,
PCPS施行時に左手の酸素飽和度が低下した。原因として考えられないのはどれか。,脱血不良による流量減少,ACTが400秒以上,生体肺の機能不全,吹送酸素濃度の低下,人工肺の血漿漏出,2,,,
血液透析によって体内に補給されるのはどれか。,尿素,カリウム,ビタミンD,重炭酸,レニン,4,,,
前希釈血液透析濾過(HDF)の特徴で正しいのはどれか。　a.後希釈HDFに比べて大量液置換が可能である。　b.後希釈HDFに比べてアルブミン喪失量が多い。　c.後希釈HDFに比べてフィルタ出口部での血液濃縮が起きやすい。　d.血液透析に比べて大分子溶質の除去に劣る。　e.同じ血流量の血液透析に比べて小分子溶質の除去に劣る。,ab,ae,bc,cd,de,2,,,
親水化剤としてポリビニルピロリドン(PVP)を使用した透析膜はどれか。　a.エチレンビニルアルコール共重合体(EVAL)　b.ポリエステル系ポリマーアロイ(PEPA)　c.ポリエーテルスルフォン(PES)　d.ポリスルフォン(PS)　e.ポリメチルメタクリレート(PMMA),abc,abe,ade,bcd,cde,4,,,
透析監視項目の異常とその原因との組合せで誤っているのはどれか。,漏血 - 透析装置ヒータの故障,空気誤入 - 補液ラインの閉鎖忘れ,血液側回路内圧上昇 - 血液凝固,血液側回路内圧低下 - 脱血不良,透析液濃度異常 - 電気伝導度計の故障,1,,,
作用発現にアンチトロンビン㈽の存在を必要とする抗凝固薬はどれか。　a.非分画ヘパリン　b.低分子量ヘパリン　c.メシル酸ナファモスタット　d.アルガトロバン　e.クエン酸ナトリウム,ab,ae,bc,cd,de,1,,,
持続的血液濾過(CHF)もしくは持続的血液透析濾過(CHDF)の適応とならないのはどれか。,急性腎障害,うっ血性心不全,重症急性膵炎,ギラン・バレー症候群,敗血症,4,,,
図のように0.5kgの輸液ボトルAが点滴スタンドにつり下げられている。これにさらに1kgの輸液ボトルBをつり下げるとX点で支持する力のモーメントは、もとの何倍になるか。ただし、点滴スタンドの棒の重さは無視する。,0,1.8,2,2.8,3,3,,,
断面積4mm2、長さ2m、ヤング率100GPaの銅線の下端に質量100kgの物体をぶら下げた。銅線のおよその伸び[mm]はどれか。,0.2,0.5,2,5,20,4,,,
100mmHgの圧力が1.00cm2の面に加えられたとき、この面に加わるおよその荷重[N]はどれか。,1.33,2.72,7.6,13.6,133,1,,,
誤っているのはどれか。　a.血管壁中のエラスチンの割合が増加すると脈波伝搬速度が速くなる。　b.安静立位状態では平均動脈圧は測定部位に関わらず同じである。　c.ヘマトクリット値が上昇すると血液の粘性が増加する。　d.血管内径が小さくなると血管抵抗は上昇する。　e.末梢血管抵抗が同じであれば心拍出量が増加すると平均血圧は上昇する。,ab,ae,bc,cd,de,1,,,
図に示す音波の空気中(25℃)におけるおよその波長[cm]はどれか。,8.5,17,34,68,140,3,,,
生体組織の電気特性で正しい組合せはどれか。　a.α分散 - 数十kHz　b.β分散 - 電解質イオン　c.β分散 - 数MHz　d.γ分散 - 水分子　e.γ分散 - 数十MHz,ab,ae,bc,cd,de,4,,,
正しいのはどれか。,筋組織は骨よりもヤング率が大きい。,筋組織のヤング率は直交方向よりも走行方向の方が大きい。,生体軟組織のポアソン比はおよそ0.5である。,生体軟組織の体積弾性率はヤング率よりも小さい。,動脈血管の円周方向の最大変形は10%程度である。,3,,,
生体組織の熱に対する性質で誤っているのはどれか。,免疫に関係する細胞は体温が下がると機能が低下する。,組織の温度が4を超えると細胞生存率が低下する。,温溶血現象は60°Cを超えた付近で現れる。,がん組織は正常組織に比べて温度感受性が高い。,熱による組織の凝固は水分の沸騰に伴う細胞質の飛散で生じる。,5,,,
生体内における物質の移動に関わる現象で誤っている組合せはどれか。,腎糸球体での物質移動 - 拡散,腎における水分の再吸収 - 浸透,毛細血管壁から血管外への水分移動 - 濾過,興奮性膜の脱分極 - イオン流,細胞内から細胞外へのNa+の移動 - 能動輸送,1,,,
生物学的安全試験で誤っているのはどれか。,表面接触機器 - 細胞毒性試験,表面接触機器 - 血液適合性試験,体内と体外を連結する機器 - 感作性試験,体内植込み機器 - 刺激性試験,体内植込み機器 - 細胞毒性試験,2,,,
ポリ塩化ビニルが使われていないのはどれか。　a.血液回路　b.カテーテル　c.注射筒　d.コンタクトレンズ　e.輸液チュープ,ab,ae,bc,cd,de,4,,,
